"variable","note"
"school","student's school "
"sex","student's sex "
"age","student's age"
"address","student's home address type "
"famsize","family size "
"Pstatus","parent's cohabitation status "
"Medu","mother's education (ordinal: 0-4)"
"Fedu","father's education (ordinal: 0-4)"
"Mjob","mother's job "
"Fjob","father's job "
"reason","reason to choose this school "
"guardian","student's guardian "
"traveltime","home to school travel time (ordinal: 0-4)"
"studytime","weekly study time (ordinal: 0-4)"
"failures","number of past class failures "
"schoolsup","extra educational support "
"famsup","family educational support "
"paid","extra paid classes within the course subject"
"activities","extra-curricular activities"
"nursery","attended nursery school"
"higher","wants to take higher education"
"internet","Internet access at home"
"romantic","with a romantic relationship"
"famrel","quality of family relationships (ordinal: 1-5)"
"freetime","free time after school (ordinal: 1-5)"
"goout","going out with friends (ordinal: 1-5)"
"Dalc","workday alcohol consumption (ordinal: 1-5)"
"Walc","weekend alcohol consumption (ordinal: 1-5)"
"health","current health status (ordinal: 1-5)"
"grade","0/1 representing fail/pass in the mathematics class"
"famincome","a virtual column used to explain the binning process"
